customer_id,segment,p_repeat,clv_90d_proxy,clv_tier,recency_days,frequency,monetary,avg_basket_value,recommended_action
12682,Champions,0.9890449669320345,2894.933146018639,Platinum,4,52,24033.91,462.19057692307695,"Protect margin with VIP service, early access, and referral prompts."
12621,Champions,0.9887165319898953,3295.460036830569,Platinum,2,35,24775.81,707.8802857142857,"Protect margin with VIP service, early access, and referral prompts."
12681,Champions,0.9877494280218428,3779.767675291499,Platinum,15,45,30868.28,685.9617777777778,"Protect margin with VIP service, early access, and referral prompts."
15078,Champions,0.9876650720231533,2145.177940288036,Platinum,7,53,17761.88,335.12981132075475,"Protect margin with VIP service, early access, and referral prompts."
12490,Champions,0.9874873351907733,1183.0146445699374,Platinum,5,21,9823.64,467.79238095238094,"Protect margin with VIP service, early access, and referral prompts."
12540,Champions,0.9868160999758804,2700.1338969777335,Platinum,20,33,22254.49,674.3784848484848,"Protect margin with VIP service, early access, and referral prompts."
12476,Champions,0.9867742992365451,2497.181559774476,Platinum,16,23,14115.41,613.7134782608696,"Protect margin with VIP service, early access, and referral prompts."
13078,Champions,0.9864135982530763,3547.779329195691,Platinum,3,57,29532.45,518.1131578947369,"Protect margin with VIP service, early access, and referral prompts."
14060,Champions,0.9862589964641381,1322.2927166284292,Platinum,5,30,9519.08,317.30266666666665,"Protect margin with VIP service, early access, and referral prompts."
12583,Champions,0.9860796260178698,1746.8247423575003,Platinum,3,27,14447.44,535.0903703703704,"Protect margin with VIP service, early access, and referral prompts."
15981,Champions,0.9859632116525705,1337.8763448064258,Platinum,25,21,9362.77,445.8461904761905,"Protect margin with VIP service, early access, and referral prompts."
13001,Champions,0.9858804824190884,2914.0925880671475,Platinum,4,33,24172.100000000002,732.4878787878788,"Protect margin with VIP service, early access, and referral prompts."
14895,Champions,0.9857729458562771,3057.0571536240227,Platinum,8,38,25119.54,661.0405263157895,"Protect margin with VIP service, early access, and referral prompts."
17706,Champions,0.9857729458562771,2668.013336225065,Platinum,4,31,20749.98,669.3541935483871,"Protect margin with VIP service, early access, and referral prompts."
12437,Champions,0.9857012194867514,1526.708081752298,Platinum,2,39,12683.4,325.2153846153846,"Protect margin with VIP service, early access, and referral prompts."
15159,Champions,0.9856859593064338,4541.697963910705,Platinum,2,34,22116.73,650.4920588235294,"Protect margin with VIP service, early access, and referral prompts."
12474,Champions,0.9851142668553182,1651.5071450595956,Platinum,17,31,12424.45,400.7887096774194,"Protect margin with VIP service, early access, and referral prompts."
15498,Champions,0.9850208960274829,3192.8876046198325,Platinum,3,44,26039.58,591.8086363636364,"Protect margin with VIP service, early access, and referral prompts."
